下第春愁甚 行心道肯难 |Ref:劳君远见招
只应多酿酒 还向远吟书 |Ref:醉罢乐高钟
世交黄叶散 霞动白衣轻 |Ref:乡路白云重
风月抛兰省 楼上送柏游 |Ref:江山复桂州
有时出东户 中里即南钩 |Ref:更欲檐下坐
檄笔无与让 谁能有栖清 |Ref:幕谋识其膺
送君游梅湖 水色春天林 |Ref:应见梅花发
和风偏应律 落雪暗为宇 |Ref:细雨不沾衣
故人不见五春风 一去南云百有行 |Ref:异地相逢岳影中
虏马崩腾忽一狂 既风回敢为为论 |Ref:翠华无日到东方
斫却月中桂 转如羁里老 |Ref:清光应更多
水树连天暗 瑶船入石香 |Ref:山禽绕郡啼
隔水相思在 归山为发时 |Ref:无书也是闲
吴门冒海雾 <unk>寄接天尘 |Ref:峡路凌连矶
秋夜守罗帏 迢迢耿别绿 |Ref:孤灯耿不灭
幸遇王子晋 能论伊与周 |Ref:结交青云端
夭桃惟是笑 春李不来妆 |Ref:舞蝶不空飞
泸水夜可涉 应山秋客还 |Ref:交州今始通
妾貌应犹在 中心未相随 |Ref:君情遽若斯
小奴惊出垂藤下 小玉峰悬映角行 |Ref:山犬今朝吠一人
池清漉螃蟹 石蒸石金蝇 |Ref:瓜蠹拾螌蟊
闲遣青琴飞小雪 每看半夜何谁苔 |Ref:自看碧玉破甘瓜
青山当佛阁 赤水入人路 |Ref:红叶满僧廊
春尽絮飞留不得 早来花落向烟枝 |Ref:随风好去落谁家
渥命随三接 欢波已一极 |Ref:皇恩畅九垓
太古历阳郡 高泉天灵横 |Ref:化为洪川在
双鸥为底无心狎 红叶飞云不自故 |Ref:白发从他绕鬓生
天嫌太端正 不爱不妆新 |Ref:神乃减风仪
若为多罗年少死 别今海甲海秋秋 |Ref:始甘人道有风情
乾星照湿土 朝露空经神 |Ref:明日依旧雨
英雄典宥州 更是洛中思 |Ref:迢递苦吟游
忽闻归苦县 只是别乡山 |Ref:复想入函关
晴明紫阁最高峰 高云碧岩二月风 |Ref:仙掖开帘范彦龙
世间渐觉无多事 不得偏看有更无 |Ref:虽有空名未著身
赖有瑶华赠 吟怀不自违 |Ref:清吟愈病身
患身是幻逢禅主 乐可忘为酒山花 |Ref:水洗皮肤语洗心
掘井须到流 农门谅亦闲 |Ref:结交须到头
曈曈悬佛日 此此出天星 |Ref:天俣动云韶
万邦咸庆 九物歌周 |Ref:百谷用成
凫鹥声暖野塘春 极雨气清烟木落 |Ref:鞍马嘶风驿路尘
雄笔佐名公 本能思国人 |Ref:虚舟应时辈
顾视仓廪间 安然黄酒死 |Ref:有粮不成炊
入门见藏山 兴敢知其主 |Ref:元化何由窥
数茎白发生浮世 一点黄裘亦难忘 |Ref:一盏寒灯共故人
一声来枕上 孤客在风涯 |Ref:梦里故园秋
鹤飞岩烟碧 鱼过水色苍 |Ref:鹿鸣涧草香
商有阳城驿 中无一戍边 |Ref:名同阳道州
风波一摇荡 江雨忽可回 |Ref:天地几翻覆
有时吐向床 不处不风色 |Ref:枕席不解听
怜君独卧无言语 及道平时泪意尘 |Ref:唯我知君此夜心
宿昔试安命 故疾已忘可 |Ref:自私犹畏天
恭承凤凰诏 欻起云萝中 |Ref:欻起云萝中
喜胜花发处 故泪别来时 |Ref:惊似客来时
二州豪侠场 自得结雄城 |Ref:人马皆自雄
欲继前贤迹 空依如主使 |Ref:谁能似隐招
伫立东城隅 凝明出海中 |Ref:怅望高飞禽
低头拜野老 小<unk>养何归 |Ref:负米吾愿从
降霜青女月 一月黄泉初 |Ref:送酒白衣人
四傍五六本 一上皆一销 |Ref:叶枝相交错
唤取长安令 令年为作家 |Ref:共猎北山熊
和济俱不闻 利跹同不忆 |Ref:曷所禳颠覆
便令裁制为时服 三可捧书尽日烟 |Ref:顿觉光荣上病身
煌煌文明代 乃在思子人 |Ref:俱幸生此辰
天开函谷壮关中 宫开立云不天鸿 |Ref:万古惊尘向此空
园果尝难遍 家容亦自回 |Ref:池莲摘未稀
一朝操政柄 幽和有皆平 |Ref:定使冠三端
应是烦恼多 尽我心痕立 |Ref:心焦血不足
共琴为老伴 相酒为长山 |Ref:与月有秋期
鱼鸟好自逸 金龙亦天修 |Ref:池笼安所钦
愿言金丹寿 流保玉玉春 |Ref:一假鸾凤翼
朝服带金玉 暮阳临绣草 |Ref:珊珊相触声
转石惊魑魅 何能思夏情 |Ref:抨弓落狖鼯
流莺应见落 飞鹤有芳阴 |Ref:舞蝶未知空
视之了不识 白之于天知 |Ref:三返又三复
孝理敦国政 不方问天底 |Ref:神凝推道经
昔凭银翰写 雨见金壶斜 |Ref:今赖玉音宣
服义大如志 不知多似年 |Ref:交欢数尽年
狭斜通凤阙 朝宵下不人 |Ref:上路抵青楼
有时经暮雨 何路过秋月 |Ref:独得倚高楼
馀湿犹沾草 无香欲近田 |Ref:残流尚入溪
及时须遨游 从此莫相起 |Ref:日暮饶风沙
龙爪状奇鼠须锐 天天分干足不强 |Ref:水笺白皙越人惠
忆君无计写君诗 我散春情似相客 |Ref:写尽千行说向谁
琥珀酒兮雕胡饭 闻满席兮织人来 |Ref:君不御兮日将晚
飞龙老马曾教舞 上鞭遥裘不出出 |Ref:闻著音声总举头
及此督簿书 时世非移得 |Ref:游词出狴牢
臣子终身感 王王惜可悲 |Ref:山园七月期
庭前唯有蔷薇在 万落时为与玉开 |Ref:花似残妆叶似衣
圣朝无弃物 一事有登才 |Ref:老病已成翁
色正秋将半 高清夜未看 |Ref:光鲜夜自深
因依非不忝 心愧不何荣 |Ref:延荐况曾蒙
拔山意气都已无 穷女安腾空空花 |Ref:渡江面目今何在
清香和宿雨 清色共愁花 |Ref:佳色出晴烟
遭时无早晚 穷日向同津 |Ref:蕴器俟良缘
相逢相笑尽如梦 愿采两来不不归 |Ref:为雨为云今不知
可叹浮尘子 谁嗟别路情 |Ref:纤埃喻此微
携置南檐下 悲归不见起 |Ref:举酌自殷勤
对兹伤九曲 和日复三涯 |Ref:含浊出昆仑
同心齐体如身到 暂见还门识不成 |Ref:临水烦君便祓除
北抛衡岳南过雁 暮入征城去更看 |Ref:朝发襄阳暮看花
壮志潜消尽 晴光暗见空 |Ref:淳风竟未还
画蛇著足无处用 文马向双挂问城 |Ref:两鬓霜白趋埃尘
巨塔列名题 长门最见门 |Ref:诗心亦罕齐
如闻生离哭 其声痛君心 |Ref:其声痛人心
衣彩独归去 溪光相别愁 |Ref:一枝兰更香
不及兰亭会 乘将向风行 |Ref:空吟祓禊诗
言语巧偷鹦鹉舌 故乡传著鹊凰笼 |Ref:文章分得凤凰毛
诸将莫贪羌族马 一尽曾衔几人人 |Ref:最高层处见边头
远图尝画地 到石别相天 |Ref:超拜乃登坛
但恐清夜徂 长云不不空 |Ref:讵悲朝景暮
身多疾病思田里 岁尽风衰不得师 |Ref:邑有流亡愧俸钱
故巢迷碧水 远迹送南山 |Ref:旧侣越丹霄
一别常山道路遥 几秋秋雨不同同 |Ref:为余更作三五势
蒲轮入翠微 月影归春柄 |Ref:迎下天台峰
绿云紫气向函关 访道应寻缑氏山 |Ref:访道应寻缑氏山
一朝天霜下 四里烟月人 |Ref:荣耀难久存
诗裁明月扇 清色白刀鸥 |Ref:歌索想夫怜
嘶马发相续 飞禽心何露 |Ref:行次夏王台
礼宿设 乐朝通 |Ref:乐妙寻
头醒风稍愈 毫咏亦南<unk> |Ref:眼饱睡初足
一去潇湘头欲白 几堪空处得游烟 |Ref:今朝始见杏花春
日落把烛归 风风著山辉 |Ref:凌晨向燕京
风惊丛乍密 断晓影初深 |Ref:鱼戏影微偏
零陵郡北湘水东 <unk>溪形胜满湘中 |Ref:浯溪形胜满湘中
直似王陵戆 犹无靳禹传 |Ref:非如宁武愚
仙家变化谁能测 万国来山非自同 |Ref:只恐洪崖是此身
脱屐入静堂 但茶及迟竹 |Ref:绕像随礼行
湖近草侵庭 王遥风上树 |Ref:秋来道兴生
东西竞角逐 襟木亦兵征 |Ref:远近施矰缴
灵盘浸沆瀣 诗逸出如人 |Ref:龙首映储胥
其如玉女正投壶 不与妆君莫见行 |Ref:笑电霏霏作天喜
衰病已经年 别闲更为岁 |Ref:西峰望楚天
常与师徒同苦乐 竞倾身道接川魂 |Ref:不教亲故隔荣枯
浦干潮未应 陂雪雨初翻 |Ref:堤湿冻初销
武帝祈灵太乙坛 尧斯灵灵荡苗香 |Ref:新丰树色绕千官
仰德心如是 吾忧何不开 |Ref:清风不我传
蕊珠讽数篇 丹歌不长曲 |Ref:秋思弹一遍
常闻仗忠信 虑舍报如城 |Ref:蛮貊可行矣
嘉陵江水此东流 水水对山万上名 |Ref:望喜楼中忆阆州
眼前便有千里愁 滴断断人一花冷 |Ref:小玉开屏见山色
赪锦支绿绮 华花落红清 |Ref:韵同相感深
欲知今日后 一月满花时 |Ref:不乐为车公
不爇香炉烟 心见何未往 |Ref:蒲团坐如铁
庾公爱秋月 仲子令家家 |Ref:乘兴坐胡床
弟兄皆向善 何得不离愁 |Ref:天地合相容
园桃绽红艳 园桑柔绿香 |Ref:效叶柔绿滋
移疾卧兹岭 立居行远人 |Ref:寥寥倦幽独
欢言冬雪满 赠席岁风入 |Ref:恨别夏云滋
孤溪雪满维舟夜 可咏山明清翠友 |Ref:叠嶂猿啼过寺时
爽气不可致 楚云随自然 |Ref:斯人今则亡
且尽登临意 无遥任望情 |Ref:斗酒欢相亲
殊类骄无长 王人同所达 |Ref:王师示有征
御气三秋节 寒风九海城 |Ref:登高九曲门
弟兄各折一枝桂 先解还飞两索绿 |Ref:还向岭头联影飞
知尉黔中后 无身武上明 |Ref:高吟采物华
食场恩未尽 征路力已然 |Ref:过隙命旋终
秋霄一滴露 微夜两残衣 |Ref:声闻林外天
为余出新什 因春重云舟 |Ref:笑抃随伸纸
边城唯有醉 后事更无人 |Ref:此外更何能
曰余吞声地 饮日度天天 |Ref:举足伤瓦砾
万推方演梦 长是比真心 |Ref:惠子正焚书
拂树疑舒叶 临流似结鳞 |Ref:临江似结鳞
南方归去再生天 内殿今来十昔年 |Ref:内殿今年异昔年
征人塞耳马不行 未到垄头闻水声 |Ref:未到陇头闻水声
文教资武功 官与出圣力 |Ref:郊畋阅邦政
影满衰桐树 犹应上风枝 |Ref:香凋晚蕙丛
故人卢氏子 新子嵩旧生 |Ref:十载旷佳期
芳树已寥落 孤英尤可嘉 |Ref:孤英尤可嘉
心照有无界 声在在自悬 |Ref:业悬前后生
好是圣人亲捉得 曾无不活似如来 |Ref:便将浓墨扫双眉
叱咤阴山道 洪成天雨波 |Ref:澄清瀚海阳
秦地无碧草 夜下有青云 |Ref:南云喧鼓鼙
打鼓泊船何处客 回将千猿夜归归 |Ref:捣衣隔竹是谁家
眷言王乔舄 名因太淹簪 |Ref:婉娈故人情
诗句乱随青草落 酒僧俱逐洞庭宽 |Ref:酒肠俱逐洞庭宽
裘破气不暖 杨欲声自生 |Ref:马羸鸣且哀
贞魂误向崇山殁 古子常非钧士穷 |Ref:冤气疑从汨水回
水精一索香一炉 三识千白白白儿 |Ref:红莲花舌生醍醐
戒师惭匪什 吟兴喜无迟 |Ref:都讲更胜询
忆昔狂童犯顺年 养养争与著成痕 |Ref:玉虬闲暇出甘泉
回车青阁晚 解带白花深 |Ref:解带碧茸深
幽独辞群久 兴居卧岳光 |Ref:漂流去国赊
劾吏何咆哮 离平水或师 |Ref:晨夜闻扑抶
寺披云峤雪 茫茫月庭舟 |Ref:路入晓天霞
广场收骥尾 清堞弃龙颜 |Ref:清瀚怯龙鳞
自拳五色球 又与石人鼠 |Ref:迸入他人宅
晨兴拜表称朝士 待雾朝端冠读书 |Ref:晚出游山作野人
邀福祷波神 施财游化城 |Ref:施财游化城
棠梨宫中燕初至 菊心处初筑欲入 |Ref:葡萄馆里花正开
自笑东风过寒食 雨来萱落尽春关 |Ref:茂陵寥落未知春
他时因咏作 还敢为人城 |Ref:犹得比南金
黛润沾新雨 春香触色风 |Ref:斑明点古苔
远道行既难 家贫难亦单 |Ref:家贫衣服单
懿矣元良 不然<unk>色 |Ref:万邦以贞
才高竟何施 文客安山色 |Ref:寡识冒天刑
圣恩若许留太学 不觉秋作无有难 |Ref:诸生讲解得切磋
粉洞二十里 玉人高九中 |Ref:当中幽客行
解向花间栽碧松 落低石下不来家 |Ref:门前不负老人峰
绝顶茅庵老此生 寒云孤木独经行 |Ref:寒云孤木伴经行
无著天亲弟与兄 多如不县自难难 |Ref:嵩丘兰若一峰晴
星河隐映初生日 童步参鸣出望台 |Ref:楼阁葱茏半出烟
黠虏多翻覆 交关少自行 |Ref:谋臣有别离
岂如甘谷士 复念苦林名 |Ref:只得香泉啜
直缘后学无功业 何得当生不力还 |Ref:不虑文翁不至公
如何未隔四十载 耳有共藏如一稀 |Ref:不遇论量向此生
代予言不易 天子意难难 |Ref:承圣旨偏劳
从宦闻苦节 此乡已无期 |Ref:应物推高谊
锋刃奔涛色 垂干动雾翻 |Ref:旌旗焰火文
起喜赓歌日 从看是是圣 |Ref:明良际会时
不知愁发换 不肯几年覆 |Ref:空见隐龙蟠
有酒轻寒夜 无诗独自秋 |Ref:无愁倚少年
浊酒盈瓦缶 寒笑双吹转 |Ref:烂谷堆荆囷
莺啼露冷酒初醒 花舞开高心未影 |Ref:罨画楼西晓角鸣
节量梨栗愁生疾 诗起庭贫过道人 |Ref:教示诗书望早成
尘土侵闲榻 春烟入远疾 |Ref:烟波隔故林
沈水良材食柏珍 化人何此烦中死 |Ref:博山烟暖玉楼春
云生五色笔 水上一声空 |Ref:月吐六钧弓
仰攀人屡息 华举身闲肝 |Ref:直下骑才通
枌榆恩赏洽 仙竹郁馀<unk> |Ref:桑梓旧情恭
看君灞陵去 听我云时来 |Ref:匹马成皋还
如今不在莺啼处 好恨无时月落时 |Ref:莺在旧时啼处啼
化人之心固甚难 过身不为必势合 |Ref:自化之心更不易
两旬绵密雨 日愁各离草 |Ref:二月似深冬
孤猿坐啼坟上月 且须一一杯中酒 |Ref:且须一尽杯中酒
宋公旧池馆 长子独青亭 |Ref:零落守阳阿
早凉晴后至 煮月思前并 |Ref:残暑暝来散
涨海积稽天 咸田长处湖 |Ref:群山高嶪地
公心外国说 过此上山城 |Ref:重望两朝推
树色向高阁 江声随远林 |Ref:昼阴横半墙
天魔波旬等 一漏何身误 |Ref:降伏金刚坚
老至居人下 常来寂地灰 |Ref:春归在客先
天临玉几班初合 月望金军照正来 |Ref:日照金鸡仗欲回
清吟倚大树 古落不高条 |Ref:瑶草何馨香
云衢降五马 日过拥长旌 |Ref:林木引双旌
幸绕楼台近 星惭管才才 |Ref:仍怀雨露赊
微风吹霜气 花叶照天声 |Ref:寒影明前除
羽扇扬风暇 感衣带月春 |Ref:瑶琴怅别情
凉风吹古木 秋吹入寒城 |Ref:野火烧残营
岂知秋未登 风面无已开 |Ref:贫窭有仓卒
知音兼众语 如语入秋月 |Ref:整翮岂多身
河曲闾阎隘 阳衢鼓水流 |Ref:川中烟火繁
濆为生险艰 王道惊容筵 |Ref:声发甚霹雳
扶病适到官 论力不不难 |Ref:田园在何处
孤帆好风千里暖 一桥南见一人春 |Ref:深花黄鸟一声长
两虎定随千岁鹿 三龙应用过头书 |Ref:双林添作几株松
隔窗爱竹有人问 无到僧移意上闲 |Ref:遣向邻房觅户钩
鱼书曾替代 鹤剑欲为荣 |Ref:香火有因缘
历历珠星疑拖珮 彩飏拂虑莫江君 |Ref:冉冉云衣似曳罗
自从一见黄龙后 已是谁知白玉来 |Ref:始觉从前错用心
甲兵年正少 五子黄黄寒 |Ref:日久戍天涯
河洲多青草 风流半秋林 |Ref:朝暮增客愁
一声水调春风暮 背乌金人几日来 |Ref:千里交阴锁汴河
小人利口实 行息事家枝 |Ref:薄俗难可论
扫雪开寺门 移泉过僧宾 |Ref:洒水净僧席
社后重阳近 空前任国豪 |Ref:云天澹薄间
肮脏不能就珪组 汉藏入门门门客 |Ref:至今空扬高蹈名
山东令族玉无尘 松竹长家渭使去 |Ref:裁剪烟花笔下春
楼观倚长霄 山见对胜花 |Ref:登攀及霁朝
曾搜景象恐通神 天在游华不不昏 |Ref:地下还应有主人
野寺江城近 春园月路遥 |Ref:双旌五马过
应防啼与笑 谁见去相愁 |Ref:微露浅深情
往时多暂住 来日不逢关 |Ref:今日是长归
郡依封土旧 卷在几山天 |Ref:国与大名新
经营衣食外 老在事乡城 |Ref:犹得弄儿孙
片云自孤远 无色无独关 |Ref:丛筱亦清深
东家有儿年十五 一门驰女日更长 |Ref:只向田园独辛苦
诚知汲善心长在 岂必酬何不不得 |Ref:争奈干时迹转穷
回首追谈笑 开然入寂尘 |Ref:劳歌跼寝兴
弄闲时细转 渐出日迟留 |Ref:争急忽惊飘
时向人间深夜坐 声飞曲上紫长行 |Ref:鬼神长在药囊边
溪上千年送女潮 城流万里上香斜 |Ref:为感吴王至今有
翠微回日驭 无欲返云岑 |Ref:丹巘驻天行
山梁从行者 更是不轻者 |Ref:错解仲尼叹
白马青袍豁眼明 黄池黄绶拥阳水 |Ref:许他真是查郎髓
和僧抢入云中峭 文壁论经万十重 |Ref:带鹤驱成涧底孤
每日领童仆 只为升鸟人 |Ref:荷锄仍决渠
博问遐观 肃不依愿 |Ref:以置左右
或言帝轩辕 当此不世鸾 |Ref:乘龙凌紫氛
火入天地炉 虚成此朝识 |Ref:南方正何剧
七盘九折寒崷崒 翻车倒盖犹堪出 |Ref:翻车倒盖犹堪出
未必交情系贫富 天水长意岂回欢 |Ref:柴门自古少车尘
激扬衔箭虎 射柘集还杯 |Ref:疑惧听冰狐
停车落日在 罢酒无人起 |Ref:罢酒离人起
物有万类 耳有群笼 |Ref:锢人如锁
彩仗连宵合 彤云日月喧 |Ref:琼楼拂曙通
有如流传上古时 却有游人下庭烟 |Ref:九轮照烛乾坤旱
千载鹤翎归碧落 至春花化洗谁摧 |Ref:五湖空镇万重山
张良韩孺子 无乃避屈狂 |Ref:椎碎属车轮
月营开射圃 仙树见行河 |Ref:霜旆拂晴霓
君御狐白裘 妾居缃绮帱 |Ref:妾居缃绮帱
无媒谒明主 不首思相颂 |Ref:失计干诸侯
萱草兮徒树 松心兮思思 |Ref:兹忧兮岂泯
恐君到即忘归日 一上关应有春春 |Ref:忆我游曾历二年
山压秦川重 愁流瘴水轻 |Ref:河来虏塞深
偶屈应缘数 他人自为冤 |Ref:他人尽为冤
暗入蝉鸣树 长无雁过阴 |Ref:微侵蝶绕兰
火不热贞玉 香如点轻凉 |Ref:蝇不点清冰
望美金陵宰 时来玉上亭 |Ref:如思琼树忧
草迎金埒马 花伴玉楼人 |Ref:花伴玉楼人
海鸟悲钟鼓 林花出水钟 |Ref:狙公畏服裳
潇碧远输委 河流复得洁 |Ref:湖嵌费携擎
犹闻绛目草 不望旧门家 |Ref:往往生空坛
摩久见菱蕊 澈一看竹红 |Ref:青于蓝水色
遥看电跃龙为马 应望天飞燕作同 |Ref:回瞩霜原玉作田
不将千里隔 空与一山风 |Ref:何用一丸泥
赵村红杏每年开 莫在清人复病发 |Ref:十五年来看几回
乔木挂斗邑 好人问瑶城 |Ref:水驿坏门开
野水差新燕 春华见远飞 |Ref:芳郊哢夏莺
杉上秋雨声 萧下半不闻 |Ref:悲切蒹葭夕
猿啼巫峡夜 客起洞庭秋 |Ref:月照洞庭波
扰扰生还死 中间死复知 |Ref:纷纷荣又枯
弃忠贞于郑国 谁歌鼓后宋寂 |Ref:忘信义于吾家
拨食与田乌 无人无凤渤 |Ref:日暮空筐归
二月三月雨晴初 上家行看忆醉人 |Ref:舍南舍北唯平芜
继组心知忝 回山不者兴 |Ref:腰章事颇齐
篇章早晚逢知己 为醉闻言得两生 |Ref:苦志忘形自有魔
岁去停灯守 秋来对月分 |Ref:花开把火看
自乐陶唐人 哭在书其子 |Ref:服勤在微力
焰焰霜戈动 炉香雨自高 |Ref:耿耿剑虹浮
收帆下急水 去马入轻水 |Ref:卷幔逐回滩
丁口传父口 盛恼归坚不 |Ref:莫问城坚不
两床陈管磬 方子动烝<unk> |Ref:九奏殊未阑
无双浮水面 出一满山头 |Ref:孤绝落关头
笔端来已久 冠得得能频 |Ref:座上去何迟
白玉堆边蒋径横 黄云披金鸳衣雪 |Ref:空涵二十四滩声
事须觅取堪居处 且是那来作得人 |Ref:若个溪头药最多
不驻秦京陌 长闻汉海船 |Ref:还题蜀郡舆
南浮涨海人何处 北卧孤山地不间 |Ref:北望衡阳雁几群
知有箧中编集在 自从人后太平改 |Ref:只应从此是经纶
总为求衣食 移家亦未餐 |Ref:令心生烦恼
