碧水冥空惟鸟飞 青山不见白头飞<eos> |Ref:长天何处云随雨
复有李公陪雅躅 不知君子有神仙<eos> |Ref:岂宜郑子忝馀光
处世心悠尔 无言不可寻<eos><eos><eos> |Ref:干时思索然
愿言将亿兆 不得上皇皇<eos><eos><eos> |Ref:同此共昌延
风浩寒溪照胆明 一声清在一声声<eos> |Ref:小君山上玉蟾生
夜禅山雪下 春月水中平<eos><eos><eos> |Ref:朝汲竹门开
鸿雁离群后 云云入海中<eos><eos><eos> |Ref:成行忆日存
云鬓自黏飘处粉 月明犹自入花开<eos> |Ref:玉鞭谁指出墙枝
如何此时恨 不得无人知<eos><eos><eos> |Ref:噭噭夜猿鸣
南舍机杼发 东山水西北<eos><eos><eos> |Ref:东方云景鲜
今朝彩盘上 不见一枝飞<eos><eos><eos> |Ref:神燕不须雷
白骨又沾新战血 青云犹在一年来<eos> |Ref:青天犹列旧旄头
丰州闻说似凉州 不觉风流一片声<eos> |Ref:沙塞晴明部落稠
峻节高转露 清风生长津<eos><eos><eos> |Ref:贞筠寒更佳
可怜俱老大 不得是清音<eos><eos><eos> |Ref:无处用闲钱
可怜无定河边骨 不得长安不可知<eos> |Ref:犹是春闺梦里人
初疑白莲花 不见青山路<eos><eos><eos> |Ref:浮出龙王宫
吹嘘川可倒 飞望日来寒<eos><eos><eos> |Ref:眄睐花争姹
弹棋自多暇 不得心相忆<eos><eos><eos> |Ref:饮酒更何如
白发乱生相顾老 不知何处是何人<eos> |Ref:黄莺自语岂知人
五年方暂至 万里不知春<eos><eos><eos> |Ref:一宿又须回
澹月照中庭 秋风满空门<eos><eos><eos> |Ref:海棠花自落
圣泽如垂饵 天恩不可论<eos><eos><eos> |Ref:沙场会息兵
冰作形容雪作眉 一年千里不知人<eos> |Ref:早知谈论两川知
岩猿应认得 山鸟不闻愁<eos><eos><eos> |Ref:连臂下句栏
风摇瓶影碎 月照凤中开<eos><eos><eos> |Ref:沙陷履痕端
长空秋雨歇 一夜夜风吹<eos><eos><eos> |Ref:睡起觉精神
将起神仙地 还将白发郎<eos><eos><eos> |Ref:才称礼乐英
天子尚应怜贾谊 此心犹是汉人名<eos> |Ref:时人未要嘲扬雄
后来富贵已零落 今日不知何处知<eos> |Ref:岁寒松柏犹依然
春归龙塞北 春去凤城东<eos><eos><eos> |Ref:骑指雁门垂
昔从岐阳狩 今朝在西北<eos><eos><eos> |Ref:簪缨满翠微
向来送行处 不见白云行<eos><eos><eos> |Ref:回首阻笑言
青苞虽小叶虽疏 白发无因不可知<eos> |Ref:贵气高情便有馀
行路难 不可知<eos><eos><eos><eos><eos> |Ref:归去来
傲然脱冠带 不得为胡营<eos><eos><eos> |Ref:改换人间情
岂料殷勤洮水上 不知一曲是三年<eos> |Ref:却将家信托袁师
路历波涛去 山中落雁归<eos><eos><eos> |Ref:家惟坐卧归
指途清谿里 不见无所为<eos><eos><eos> |Ref:左右唯深林
光抱升中日 心心在远山<eos><eos><eos> |Ref:霞明五色天
曲罢不知处 不知何处期<eos><eos><eos> |Ref:巫山空夕阳
翻思南岳上 不见一山流<eos><eos><eos> |Ref:欠此白莲香
万里清江上 千年不可寻<eos><eos><eos> |Ref:三年落日低
人生今日得娇贵 不得无人不得身<eos> |Ref:谁道卢姬身细微
日照蓬阴转 风声一夜声<eos><eos><eos> |Ref:风微野气和
旧制新题削复刊 一枝新著白头红<eos> |Ref:工夫过甚琢琅玕
鸦鸣秋殿晓 月照海山深<eos><eos><eos> |Ref:人静禁门深
霭霭沉檀雾 萧条入晚风<eos><eos><eos> |Ref:锵锵环佩风
山色低官舍 山声入野城<eos><eos><eos> |Ref:湖光映吏人
昔在羲和 今无不之<eos><eos><eos><eos> |Ref:湎淫不修
岂非玄域橐 不得白头愁<eos><eos><eos> |Ref:夺得古人旗
白发忽已新 青山不可寻<eos><eos><eos> |Ref:红颜岂如故
十犹八九负薪归 一向春来不相见<eos> |Ref:卖薪得钱应供给
宝马摇环万骑归 金金玉佩动轻尘<eos> |Ref:恩光暗入帘栊里
更筑歌台起妆殿 一枝红叶一相催<eos> |Ref:明朝先进画图来
檐前熟著衣裳坐 窗上垂垂柳枝声<eos> |Ref:风冷浑无扑火蛾
得地自成丛 无人不可知<eos><eos><eos> |Ref:那因种植功
尽日无僧倚 无人不可知<eos><eos><eos> |Ref:清风长有馀
解牵窗梦远 还入竹声深<eos><eos><eos> |Ref:先是涧梅谙
波涛千里隔 云雨九衢春<eos><eos><eos> |Ref:抱疾亦相寻
宜须数数谋欢会 不得相逢不可知<eos> |Ref:好作开成第二春
双蛾解珮啼相送 一度青山长夜时<eos> |Ref:五马鸣珂笑却回
片月山林静 孤云水水清<eos><eos><eos> |Ref:孤云海棹轻
舂牍残 临阳去<eos><eos><eos><eos><eos> |Ref:儿且止
从公伏事久 不得不知心<eos><eos><eos> |Ref:之子俊才稀
伊人不可期 不得不能得<eos><eos><eos> |Ref:慷慨徒忉忉
深宫坐愁百年身 不得相逢一枝醉<eos> |Ref:一片玉中生愤血
奉诏受边服 承恩奉明朝<eos><eos><eos> |Ref:总徒筑朔方
千姿万状分明见 一片春光满上楼<eos> |Ref:恰与昭阳舞者同
一从守兹郡 不见无所为<eos><eos><eos> |Ref:两鬓生素发
浪引浮槎依北岸 风飞晓夜上西东<eos> |Ref:波分晚日见东山
茫茫晓日下长秋 不见春风满天地<eos> |Ref:哀歌未断城鸦起
野草花叶细 野花花下香<eos><eos><eos> |Ref:不辨薋菉葹
望崇早合归黄阁 坐坐春风满绿丛<eos> |Ref:诗好何妨恋白蘋
风回日暮吹芳芷 日向江头不可知<eos> |Ref:月落山深哭杜鹃
回首苍梧深 相思无相见<eos><eos><eos> |Ref:女萝闭山鬼
槃山多道侣 不得是君家<eos><eos><eos> |Ref:应未有归年
天仙若爱应相问 不得春风不可知<eos> |Ref:可道江州司马诗
经过正中道 不见春风月<eos><eos><eos> |Ref:相送倍为情
帝宅夹清洛 天卿当圣恩<eos><eos><eos> |Ref:丹霞捧朝暾
兰麝远不散 风流无不同<eos><eos><eos> |Ref:管弦闲自清
腰金首翠光照耀 玉帐朱楼舞重天<eos> |Ref:丝竹迥发清以哀
安得壮士挽天河 不得不得为我人<eos> |Ref:净洗甲兵长不用
生前不忍别 不得不知君<eos><eos><eos> |Ref:死后向谁宣
石龛闲锁白猿边 一片春风入洞庭<eos> |Ref:归去程途半在船
玄孙扶向店前行 白月连蹄马马蹄<eos> |Ref:左臂凭肩右臂折
先时见者为谁耶 不得无人不得知<eos> |Ref:源水今流桃复花
白璧加荐 青金荐虔<eos><eos><eos><eos> |Ref:玄纁告虔
向空咄咄烦书字 不得不知何处处<eos> |Ref:举世滔滔莫问津
循涯不知浅 不觉一年春<eos><eos><eos> |Ref:见底似非深
还看古人书 不见天山去<eos><eos><eos> |Ref:复举前人瓢
宝瓶下井辘轳急 玉门一度千山清<eos> |Ref:小娃弄索伤清冰
别有数枝遥望见 一声清断一声声<eos> |Ref:画桥南面拂秋千
满宫学士皆颜色 不得无知一日时<eos> |Ref:江令当年只费才
春宵思极兰灯暗 夜夜闲闻鸟鸟声<eos> |Ref:晓月啼多锦幕垂
吾人甘作心似灰 不能不得为我言<eos> |Ref:弟侄何伤泪如雨
邂逅江鱼食 殷勤客酒香<eos><eos><eos> |Ref:凄凉楚客招
长门槐柳半萧疏 一日风涛满水流<eos> |Ref:玉辇沈思恨有馀
酡颜醉后泣 默梦思相思<eos><eos><eos> |Ref:小女妆成坐
艳色即空花 清光如自素<eos><eos><eos> |Ref:浮生乃焦谷
万事已为春弃置 一时无事不相亲<eos> |Ref:百忧须赖酒医治
万植御洪波 千年不可见<eos><eos><eos> |Ref:森然倒林薄
水南山人又继往 一年一十人三年<eos> |Ref:鞍马仆从塞闾里
长风鼓横波 一夜落云树<eos><eos><eos> |Ref:合沓蹙龙文
旧侣不归成独酌 一年何处一枝啼<eos> |Ref:故园虽在有谁耕
江头寒夜宿 江水夜来来<eos><eos><eos> |Ref:垄上歉年耕
自然催一醉 不得是三年<eos><eos><eos> |Ref:非但阅年光
所赏未及毕 不知不相见<eos><eos><eos> |Ref:后游良有期
精览万殊入 不知三日归<eos><eos><eos> |Ref:潜行七泽连
我里百馀家 不知何所得<eos><eos><eos> |Ref:世乱各东西
檐前甘菊移时晚 窗上残花入远迟<eos> |Ref:青蕊重阳不堪摘
至今南顿诸耆旧 不得三年不可知<eos> |Ref:犹指榛芜作弄田
遥江大船小于叶 不觉春风满玉楼<eos> |Ref:远村杂树齐如蔬
来朝当路日 不见到山中<eos><eos><eos> |Ref:承诏改辕时
炮笋烹鱼饱餐后 一声清动水烟光<eos> |Ref:拥袍枕臂醉眠时
便似罩中鱼 还随飞旌旗<eos><eos><eos> |Ref:脱飞生两翅
篱崩瓜豆蔓 山静鱼羊兔<eos><eos><eos> |Ref:圃壤牛羊迹
空山新雨后 一日夜风风<eos><eos><eos> |Ref:天气晚来秋
莫惜青莲喻 何如金玉地<eos><eos><eos> |Ref:秦人听未忘
凉月照窗欹枕倦 夜吟风影入棋行<eos> |Ref:澄泉绕石泛觞迟
一朝今古隔 不得不相亲<eos><eos><eos> |Ref:唯有月明同
空怨他乡别 何由不可亲<eos><eos><eos> |Ref:回舟暮寂寥
唯留扁舟影 不得上云行<eos><eos><eos> |Ref:系在长江湄
芙蓉殿上中元日 翡翠金台一曲初<eos> |Ref:水拍银台弄化生
山依枯槁容 水不为石生<eos><eos><eos> |Ref:何处见年终
飒岸浮寒水 孤林落远云<eos><eos><eos> |Ref:依阶拥夜虫
射策亦何为 相逢不可识<eos><eos><eos> |Ref:春卿遂聊辍
殊乡会面时 不得无所思<eos><eos><eos> |Ref:辛苦两情知
虚怀日迢遥 不觉无所思<eos><eos><eos> |Ref:荣辱常保纯
顾己诚虚薄 何由得不知<eos><eos><eos> |Ref:空惭亿兆人
貂裘玉食张公子 玉帐金旗入帝人<eos> |Ref:炰炙熏天戟门里
心唯务鹤静 身性不心闲<eos><eos><eos> |Ref:分合与名疏
飞燕身轻未是轻 一年何处是天卿<eos> |Ref:枉将弱质在岩扃
关塞三千里 江南一度天<eos><eos><eos> |Ref:烟花一万重
云散芒砀山 风落秋流落<eos><eos><eos> |Ref:水还睢阳郭
生儿不远征 不得不能言<eos><eos><eos> |Ref:生女事四邻
岱谷谢巧妙 征兵不如断<eos><eos><eos> |Ref:匡山徒有名
莫倚清风更多事 不知人事不相亲<eos> |Ref:玉楼还有晏眠人
东邻少年安所如 一杯一酒无能得<eos> |Ref:席门穷巷出无车
天江碎碎银沙路 天风不断黄金阙<eos> |Ref:嬴女机中断烟素
与君方掩泪 不得不知君<eos><eos><eos> |Ref:来客是知心
城郭喧喧争送远 山山落下有空清<eos> |Ref:危梁袅袅渡东津
孙宾遥见待 山暖不相寻<eos><eos><eos> |Ref:郭解暗相通
花园欲盛千场饮 不得无人不得归<eos> |Ref:水阁初成百度过
朝回北阙值清晨 暮入南山入春草<eos> |Ref:晚出南宫送暮春
新丰绿树起黄埃 一日春风满楚船<eos> |Ref:数骑渔阳探使回
主人故相问 不见天上山<eos><eos><eos> |Ref:惭笑不能言
将军自起舞长剑 一日不知春夜长<eos> |Ref:壮士呼声动九垓
皇心不向晦 天子无由去<eos><eos><eos> |Ref:改节号中和
今日把手笑 不知心不知<eos><eos><eos> |Ref:少时各他乡
五年不见鸾台长 一日无人为此身<eos> |Ref:明日将陪兔苑游
方士真难见 何人不可知<eos><eos><eos> |Ref:商胡辄自夸
香炉远峰出 清磬空清响<eos><eos><eos> |Ref:石镜澄湖泻
茅亭居上头 不觉不相亲<eos><eos><eos> |Ref:豁达门四辟
酥凝背胛玉搓肩 玉剑清光照天下<eos> |Ref:轻薄红绡覆白莲
承颜自俯仰 为道无其穷<eos><eos><eos> |Ref:有泪不敢流
须臾造化惨 不得是清流<eos><eos><eos> |Ref:倏忽堪舆变
僧宿石龛残雪在 客随寒水到山来<eos> |Ref:雁归沙渚夕阳空
命将征西极 恩雄入北邻<eos><eos><eos> |Ref:横行阴山侧
清晨鸣天鼓 远望归海云<eos><eos><eos> |Ref:飙欻腾双龙
桂楼椒阁木兰堂 一片春风满树花<eos> |Ref:绣户雕轩文杏梁
若非八彩眉 不得为我去<eos><eos><eos> |Ref:不可辄照临
向者夸夺子 不能为出行<eos><eos><eos> |Ref:万坟厌其巅
朝判长洲暮判吴 夜花归鸟相逢起<eos> |Ref:道不拾遗人不孤
云披彩仗春风度 月照金池瑞雨寒<eos> |Ref:日暖香阶昼刻移
巷有从公歌 人为君子孙<eos><eos><eos> |Ref:野多青青麦
亭障鸣笳入 山门入路愁<eos><eos><eos> |Ref:风云转旆来
留取馀杯待张翰 不知春色不知谁<eos> |Ref:明年归棹一从容
霭霭云生峰 萧萧江头雨<eos><eos><eos> |Ref:潺潺水流石
白日分明到世间 青山不得是闲人<eos> |Ref:碧空何处来时路
冥搜必殚竭 不以为<unk><unk><eos><eos><eos> |Ref:跻览忘崎穹
膂力风尘倦 将军日暮心<eos><eos><eos> |Ref:疆场岁月穷
曹瞒尚不能容物 不得何曾不得名<eos> |Ref:黄祖何曾解爱才
闲开茗焙尝须遍 静坐吟诗力不成<eos> |Ref:醉拨书帷卧始休
晚钟过竹静 秋雨带云深<eos><eos><eos> |Ref:醉客出花迟
田竖鞭髑髅 军行问帝中<eos><eos><eos> |Ref:村童扫精灵
无由碧潭饮 不见白云人<eos><eos><eos> |Ref:争接绿萝枝
笑我青袍故 相逢玉阁春<eos><eos><eos> |Ref:饶君茜绶殷
竹深风倍冷 花绿草初新<eos><eos><eos> |Ref:堂迥磬偏清
易得笑言友 不知心所亲<eos><eos><eos> |Ref:难逢终始人
萧条独向汝南行 不是无人不得知<eos> |Ref:客路多逢汉骑营
侵陵雪色还萱草 不得无声入水泉<eos> |Ref:漏泄春光有柳条
鹫岭飞夏服 龙城入水城<eos><eos><eos> |Ref:娥魄乱雕弓
庾楼今夜月 白发不如春<eos><eos><eos> |Ref:君岂在楼头
白雨鸣山麓 青云入海城<eos><eos><eos> |Ref:青灯语夜阑
寄将东洛去 不见一年新<eos><eos><eos> |Ref:心与物相随
平生守仁义 不得不能知<eos><eos><eos> |Ref:所疾唯狙诈
帷幄谅无取 文表不能酬<eos><eos><eos> |Ref:栋梁非所任
西陵古江口 一日不相思<eos><eos><eos> |Ref:远见东扬州
春风正澹荡 春草不相亲<eos><eos><eos> |Ref:暮雨来何迟
努力拄杖来 不如金作得<eos><eos><eos> |Ref:馀活与尔同
潺潺伊洛河 何处为南望<eos><eos><eos> |Ref:寂寞少恩波
遥心万馀里 不见一年春<eos><eos><eos> |Ref:直望三边月
荆台别路长 江上不相逢<eos><eos><eos> |Ref:密绪分离状
且当放怀去 不得无人心<eos><eos><eos> |Ref:行行没馀齿
献捷见天子 登云入舞衣<eos><eos><eos> |Ref:论功俘可汗
主人千骑东方远 不得长安不可知<eos> |Ref:唯望衡阳雁足书
应是烦恼多 不知心力易<eos><eos><eos> |Ref:心焦血不足
汗马卧高原 行人道无止<eos><eos><eos> |Ref:危旌倚长薄
孤舟乱春华 一夜无人声<eos><eos><eos> |Ref:暮齿依蒲柳
杜鹃啼断回家梦 一片春风归路回<eos> |Ref:半在邯郸驿树中
煮茗然枫枿 焚香作药汤<eos><eos><eos> |Ref:泥墙札祖碑
霜蕙后时老 风风心未清<eos><eos><eos> |Ref:巢禽知暝还
旧隐同溪远 新云入海平<eos><eos><eos> |Ref:周行隔品遥
怨彼浮花心 不知神名事<eos><eos><eos> |Ref:飘飘无定所
保厘才半仗 降武在和风<eos><eos><eos> |Ref:容卫尽空庐
平郊不爱行增气 不见春风一片云<eos> |Ref:好井无疑漱入心
此情何所喻 不得一年来<eos><eos><eos> |Ref:川上有鸳鸯
苦雾三辰没 清风万里清<eos><eos><eos> |Ref:穷阴四塞昏
牺樽一何古 不敢无忧伤<eos><eos><eos> |Ref:我抱期幽客
充肠多薯蓣 为以心所求<eos><eos><eos> |Ref:崖蜜亦易求
四渎与五岳 一生天地心<eos><eos><eos> |Ref:名山尽幽窜
北陆冰初结 南南花满衣<eos><eos><eos> |Ref:南宫漏更长
谁怜一片影 不得白云寒<eos><eos><eos> |Ref:相失万重云
若使花长在 何曾是一书<eos><eos><eos> |Ref:人应看不回
干旌屡舞 飞鸟不知<eos><eos><eos><eos> |Ref:金石咸陈
庭竹垂卧内 山花满家家<eos><eos><eos> |Ref:村烟隔南阜
至今黄泉下 不见青云里<eos><eos><eos> |Ref:名及青云端
山榴艳似火 花叶满如香<eos><eos><eos> |Ref:王蕊飘如霰
三军受号令 万里凌云翔<eos><eos><eos> |Ref:千里肃雷霆
苍生属伊吕 白日为天子<eos><eos><eos> |Ref:明主仗韩彭
二妃怨处云沉沉 一声不见愁风落<eos> |Ref:二妃哭处湘水深
鸢觑败兵眠白草 虎虎龙龙入南岳<eos> |Ref:马惊边鬼哭阴云
遥见入楚云 不知风雨寒<eos><eos><eos> |Ref:又此空馆月
无疾其驱 不以为之<eos><eos><eos><eos> |Ref:天子有诏
绛霞封药灶 红药煮衣衣<eos><eos><eos> |Ref:碧窦溅斋坛
有村知不远 无事有人心<eos><eos><eos> |Ref:风便数声砧
彩骑双双引宝车 一声不见春水流<eos> |Ref:羌笛两两奏胡笳
要果逡巡种 无人见白云<eos><eos><eos> |Ref:思茶逐旋煎
三叹承汤鼎 再奉圣王赋<eos><eos><eos> |Ref:千欢接舜壶
而我独蹭蹬 不能作离杯<eos><eos><eos> |Ref:语默道犹屯
楼台相掩映 山上不沾衣<eos><eos><eos> |Ref:城阙互相望
从来乐幽寂 不见一年年<eos><eos><eos> |Ref:寻觅未能穷
声尽灯前各流泪 不知春色月无重<eos> |Ref:水天凉冷雁离群
海鸟夜上珊瑚枝 江来日落花如花<eos> |Ref:江花晓落琉璃地
君门羽林万猛士 一日一日一千年<eos> |Ref:恶若哮虎子所监
凭将安养意 不得不知君<eos><eos><eos> |Ref:一说向曾颜
行飞与跪乳 不得一金钩<eos><eos><eos> |Ref:识序如知恩
形如瘦鹤精神健 身向青山入石行<eos> |Ref:顶似伏犀头骨粗
怒鷇麛 <unk>咸岳<eos><eos><eos><eos><eos> |Ref:抗乔岳
神清宜放旷 神气更凄凄<eos><eos><eos> |Ref:诗苦益纵横
既礼新松塔 还楼下玉楼<eos><eos><eos> |Ref:还寻旧石筵
十岁荒狂任博徒 一年何事是何人<eos> |Ref:挼莎五木掷枭卢
多惭入火术 不得为人辱<eos><eos><eos> |Ref:常惕履冰心
德合天兮礼神遍 神君仙兮天不知<eos> |Ref:灵芝生兮庆云见
霜天到宫阙 风雨入天台<eos><eos><eos> |Ref:恋主寸心明
雪中无陋巷 风外无空脉<eos><eos><eos> |Ref:醉后似当年
废苑荒阶伴绿苔 一枝红叶一开新<eos> |Ref:恩疏长信恨难开
何处感时节 不知春水寒<eos><eos><eos> |Ref:新蝉禁中闻
愿荐埙篪曲 还迎御史同<eos><eos><eos> |Ref:相将学玉箫
歌黛惨时方酩酊 锦衣相望不相亲<eos> |Ref:不知公子重飞觥
蝉烦鸣转喝 鸟起叫无尘<eos><eos><eos> |Ref:乌噪饥不啄
劝君金屈卮 为尔黄湖间<eos><eos><eos> |Ref:满酌不须辞
好峰行恐尽 高枕坐吟迟<eos><eos><eos> |Ref:流水语相随
清风散发卧 清风生远事<eos><eos><eos> |Ref:兼不要纱巾
未必闻歌吹 何如不可寻<eos><eos><eos> |Ref:羁心得暂宽
待君消瘦尽 不得见云风<eos><eos><eos> |Ref:日暮碧江潭
影销胡地月 声入汉城风<eos><eos><eos> |Ref:衣尽汉宫香
披霄决汉出沆漭 一声不得无所求<eos> |Ref:瞥裂左右遗星辰
三春时有雁 一日不知人<eos><eos><eos> |Ref:万里少行人
鬓丝千万白 衣袖一千年<eos><eos><eos> |Ref:池草八九绿
自握蛇珠辞白屋 不教台水入青山<eos> |Ref:欲凭鸡卜谒金门
正月元日 不知君子<eos><eos><eos><eos> |Ref:初见宗祖
曲士守文墨 不能为君儿<eos><eos><eos> |Ref:达人随性情
愿君去丘坂 不得为玉刀<eos><eos><eos> |Ref:长使道路平
哀猿自相叫 不见不可知<eos><eos><eos> |Ref:乡泪好无端
落月沉馀影 孤山落晚霞<eos><eos><eos> |Ref:阴渠流暗光
失学从愚子 何由是有情<eos><eos><eos> |Ref:无家住老身
倘遇乘槎客 何由见此生<eos><eos><eos> |Ref:永言星汉游
此时醉客纵横书 不知不见君相思<eos> |Ref:公言可荐承明庐
洑泉数眼沸 高树千峰折<eos><eos><eos> |Ref:平地流清通
名山知不远 不得有人心<eos><eos><eos> |Ref:长忆寺门松
师诵此经经一字 不知何处是天涯<eos><eos> |Ref:字字烂嚼醍醐味
