除却醉来开口笑 不知相见一年年<eos> |Ref:世间何事更关身
相逢梁宋间 不知此天意<eos><eos><eos> |Ref:与我醉蒿莱
唯应嵩与华 不见江南山<eos><eos><eos> |Ref:清峻得为群
扶亲何处隐 不是故乡山<eos><eos><eos> |Ref:惊梦入嵩丘
忽闻新命须归去 不似新丰好醉时<eos> |Ref:一夜船中语到明
泥丸空示世 何处不成轮<eos><eos><eos> |Ref:腾举不为名
空怀寿街吏 不得不相亲<eos><eos><eos> |Ref:尚隔寝门朝
杜鹃花里杜鹃啼 闲见春山一时起<eos> |Ref:浅紫深红更傍溪
十指纤纤玉笋红 一声如梦入清波<eos> |Ref:雁行轻遏翠弦中
鲜红未许佳人见 不觉无人梦雨多<eos> |Ref:蝴蝶争知早到来
兴酣樽易罄 酒熟喜同新<eos><eos><eos> |Ref:连泻酒瓶斜
安危大臣在 不得一生死<eos><eos><eos> |Ref:不必泪长流
古戍依重险 山河入太平<eos><eos><eos> |Ref:高楼见五凉
斋官禁与僧相见 白石无因一枕前<eos> |Ref:院院开门不得过
微灯照寂寥 白云空自神<eos><eos><eos> |Ref:此夕正迢迢
远岸牧童吹短笛 江楼远雨入长城<eos> |Ref:蓼花深处信牛行
病共乐天相伴住 不知日暮一愁中<eos> |Ref:春随樊子一时归
栖止且偏僻 不知空国时<eos><eos><eos> |Ref:嬉游无早宴
量泉将濯足 不觉见浮天<eos><eos><eos> |Ref:阑鹤把支颐
犬随童子出 风吹玉阶开<eos><eos><eos> |Ref:鸟避俗人飞
陶甄试一致 不敢问清晨<eos><eos><eos> |Ref:品汇乃散殊
撚眉愁俗客 不得见南时<eos><eos><eos> |Ref:支颊背残阳
赠汝以好辞 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:咄汝去莫违
尚书当毕功 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:礼记速须剖
老年常道路 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:迟日复山川
试哭军门看谁问 不是长安不得人<eos><eos><eos><eos> |Ref:旧来还似祢先生
白云深处寄生涯 不是长安不得人<eos><eos><eos><eos> |Ref:岁暮生情赖此花
翠出牛头耸 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:苔深马迹跛
坐恐塞上山 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:低于砂中骨
徒然骋目处 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:岂是获心游
那及轻身燕 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:双飞上玉楼
明丽碧天霞 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:丰茸紫绶花
暑气冷衣葛 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:暮云催烛灯
云房寄宿秋夜客 不见春风满树花<eos><eos><eos><eos> |Ref:一灯荧荧照虚壁
把酒仰问天 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:古今谁不死
欲寻苏小小 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:何处觅钱塘
明知秦是虎狼国 不知不得不可论<eos><eos><eos><eos> |Ref:更忍车轮独向西
苍龙青旗 不为不知<eos><eos><eos><eos><eos><eos><eos> |Ref:爰候祥风
闲忆旧居湓水畔 不知风雨不相逢<eos><eos><eos><eos> |Ref:数枝烟雨属啼莺
乡路穿京过 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:宁心去少同
每惜若人辈 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:身死名亦沦
因风飘玉户 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:向日映金堤
试登高而极目 不得不知何处<eos><eos><eos><eos><eos> |Ref:莫不变而回肠
孤松宜晚岁 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:众木爱芳春
鸟归残照出 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:钟断细泉来
谁谓唐城诸父老 不知天子不相知<eos><eos><eos><eos> |Ref:今时得见蜀文翁
爱泉移席近 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:闻石辍棋看
不是不能判酩酊 不知相见不相亲<eos><eos><eos><eos> |Ref:却忧前路酒醒时
寂寥二三子 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:归骑得相收
浮名相引住 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:归路不同归
布裘拥质随缘过 不是人间不得无<eos><eos><eos><eos> |Ref:岂羡人间巧样模
於穆濬哲 不为不知<eos><eos><eos><eos><eos><eos><eos> |Ref:维清缉熙
回转百里间 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:青山千万状
暗发前军连夜战 不知何处是归程<eos><eos><eos><eos> |Ref:平明旌旆入襄州
破得春风恨 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:今朝直几钱
但觉游蜂饶舞蝶 一时风雨满家花<eos><eos><eos><eos> |Ref:岂知孤凤忆离鸾
比肩羊叔子 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:千载岂无才
此心不许世人知 不得人间不得知<eos><eos><eos><eos> |Ref:只向仙宫未曾出
义行相识处 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:贫过少年时
驰心北阙随芳草 一夜春风满故人<eos><eos><eos><eos> |Ref:极目南山望旧峰
凤去鸾归不可寻 一声相见不相思<eos><eos><eos><eos> |Ref:十洲仙路彩云深
白云随浪散 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:青壁与山连
晚酌东窗下 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:流莺复在兹
送别枯桑下 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:凋叶落半空
一人理国致升平 不知何事不相逢<eos><eos><eos><eos> |Ref:万物呈祥助圣明
时应登古寺 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:佳趣在春冈
赫奕俨冠盖 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:纷纶盛服章
旅雁迎风度 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:阶翻月露华
画角悲海月 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:征衣卷天霜
春心渐伤尽 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:何处有高楼
侵陵雪色还萱草 不觉春风不见春<eos><eos><eos><eos> |Ref:漏泄春光有柳条
谁识雌雄九成律 不知天子有天名<eos><eos><eos><eos> |Ref:子乔丹井在深涯
灵溪古观坛西角 一日三千万里行<eos><eos><eos><eos> |Ref:千尺鳞皴栋梁朴
竹阴交前浦 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:柳花媚中洲
灰死韩安国 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:罗伤翟廷尉
奉乞桃栽一百根 不知人世不相亲<eos><eos><eos><eos> |Ref:春前为送浣花村
锦水湔云浪 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:黄山扫地春
青泥坂上到三蜀 不见春风满上楼<eos><eos><eos><eos> |Ref:金堤城边止九旂
阿母从天降几时 不知何事不相逢<eos><eos><eos><eos> |Ref:前朝惟有汉皇知
江蓠伴我泣 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:海月投人惊
千悲万恨四五弦 一时不得长相思<eos><eos><eos><eos> |Ref:弦中甲马声骈阗
紫燕自超诣 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:翠驳谁剪剔
斯文崔魏徒 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:以我似班扬
迸点时穿牖 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:浮沤欲上阶
画出欺王墨 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:擎将献惠连
参差帘牖重 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:次第笼虚白
上阳花木不曾秋 不见春风不见人<eos><eos><eos><eos> |Ref:洛水穿宫处处流
长怀报明主 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:卧病复高秋
主人娱宾画障开 一点金盘一点红<eos><eos><eos><eos> |Ref:只言骐骥西极来
因分三辅职 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:进领南平位
世情随日变 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:利路与天长
向我道云中觅伴未得伴 不知不是白苍佛下床家<eos> |Ref:又示我数首新诗尽是诗
长门尽日无梳洗 一片春风一万里<eos><eos><eos><eos> |Ref:何必珍珠慰寂寥
所嗟无比邻 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:余亦能偷尝
官名光邃古 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:盖影耿轻埃
仓箱足可恃 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:归去傲吾庐
惟有图书在 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:多伤鬓发凋
丰州闻说似凉州 不见人间不得人<eos><eos><eos><eos> |Ref:沙塞晴明部落稠
畏人避犬投高处 不得人间不得来<eos><eos><eos><eos> |Ref:俯啄无声犹屡顾
且脱衣沽酒 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:终南山欲春
可观无事客 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:憩歇在岩阿
抱琴出深竹 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:为我弹鹍鸡
亚尹同心者 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:风流贤大夫
泉岩雪飘洒 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:苔壁锦漫糊
历数有时尽 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:哀平嗟不昌
知疑奸叟谤 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:闲与情人话
酒律应难忘 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:诗魔未肯徂
迢迢河外路 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:知直去崆峒
骤看浮峡过 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:密作渡江来
寒江绿水楚云深 一夜无人不可知<eos><eos><eos><eos> |Ref:莫道离忧迁远心
还应雪汉耻 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:持此报明君
锦帏初卷卫夫人 不得相逢一一杯<eos><eos><eos><eos> |Ref:绣被犹堆越鄂君
掺袂向春风 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:何时约再逢
空馀两岸千株柳 一片春风一片雪<eos><eos><eos><eos> |Ref:雨叶风花作恨媒
阊门折垂柳 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:御苑听残莺
独居岩下室 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:长似定中身
夜来身校健 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:小饮复何如
侧身千里道 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:寄食一家村
薜荔作禅庵 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:重叠庵边树
此中一见乱人目 不知人间不相识<eos><eos><eos><eos> |Ref:只疑行到云阳台
最爱一泉新引得 不知人事不相逢<eos><eos><eos><eos> |Ref:清泠屈曲绕阶流
旅梦难归隐 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:吟魂不在身
门径俯清溪 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:茅檐古木齐
蟾蜍生夕景 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:沆瀣馀清旦
二三月时何草绿 一枝风雨一枝红<eos><eos><eos><eos> |Ref:几百年来空月明
明年尚父上捷书 不知一曲不相知<eos><eos><eos><eos> |Ref:洗清观阙收封畿
病多身又老 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:枕倦夜兼长
常山攻小寇 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:淮右择良帅
鼓动六街骑马出 一来山上不相逢<eos><eos><eos><eos> |Ref:相逢总是学狂人
采珠勿惊龙 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:大道可暗归
曾向蓬莱宫里行 一枝风雨一相思<eos><eos><eos><eos> |Ref:北轩阑槛最留情
回尘却惆怅 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:归阙难迟迟
安得清瘦人 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:新秋夜同宿
更感卞峰颜色好 不知风雨不相思<eos><eos><eos><eos> |Ref:晓云才散便当门
自筐及筥 不为不知<eos><eos><eos><eos><eos><eos><eos> |Ref:我有牢醑
鸾歌随凤吹 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:鹤舞向鹍弦
长把种树书 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:人云避世士
班杨秉文史 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:对院自为邻
兴还江海上 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:迹在是非端
羌女轻烽燧 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:胡儿制骆驼
疾危必厌神明药 不得无人不得来<eos><eos><eos><eos> |Ref:心惑多嫌正直言
心中别有欢喜事 不知何处是人间<eos><eos><eos><eos> |Ref:开得龙门八节滩
身上无尘垢 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:心中那更忧
万木长不住 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:细泉听更深
挺身艰难际 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:张目视寇雠
不说玉山颓 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:且无饮中色
光风初澹荡 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:美景渐暄妍
野绿梅阴重 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:江春浪势粗
沉吟辞北阙 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:诱引向西方
自有山神护 不得不相识<eos><eos><eos><eos><eos><eos> |Ref:应无劫火烧
结束平阳骑 春来水色游<eos><eos><eos> |Ref:明朝入建章
瘴杂交州雨 春寒落酒花<eos><eos><eos> |Ref:犀揩马援碑
世事不同心事 不见何人不见<eos><eos> |Ref:新人何似故人
大泽蒹葭风 江湖青草生<eos><eos><eos> |Ref:孤城狐兔窟
人情疑始变 风似入秋风<eos><eos><eos> |Ref:天性感还生
何物把来堪比并 一生无计是他乡<eos> |Ref:野塘初绽一枝莲
有路如飞出 何人不得飞<eos><eos><eos> |Ref:无机似陆沈
东游借得琴高鲤 不见无人一醉行<eos> |Ref:骑入蓬莱清浅中
独上云梯入翠微 一人来去一枝残<eos> |Ref:蒙蒙烟雪映岩扉
荆轲只为闲言语 金马何时问玉鞭<eos> |Ref:不与燕丹了得人
枕簟入林僻 不觉过春山<eos><eos><eos> |Ref:茶瓜留客迟
干将磨欲尽 白发变难平<eos><eos><eos> |Ref:无位可酬恩
枕上梦随月 不知云在云<eos><eos><eos> |Ref:扇边歌绕尘
赵村红杏每年开 一片金花与剪尝<eos> |Ref:十五年来看几回
马带桃花锦 新开玉女桃<eos><eos><eos> |Ref:裙衔绿草罗
平生去外饰 不得子门居<eos><eos><eos> |Ref:直道如不羁
更升台上望 不见故人知<eos><eos><eos> |Ref:云物已昭彰
学易思求我 何人得问谁<eos><eos><eos> |Ref:言诗或起予
火种山田薄 山深山木寒<eos><eos><eos> |Ref:星居海岛寒
远树低枪垒 风流动塞钟<eos><eos><eos> |Ref:孤峰入幔城
笑言虽不接 何必是吾庐<eos><eos><eos> |Ref:情状似相亲
坐惜离居晚 山泉日复深<eos><eos><eos> |Ref:相思绿蕙秋
累歇日已没 天地不能归<eos><eos><eos> |Ref:始到茅堂边
或许润色美 清韵含清景<eos><eos><eos> |Ref:或嫌诋诃痴
六么水调家家唱 万里春风杨柳声<eos> |Ref:白雪梅花处处吹
白日去难驻 风声思自清<eos><eos><eos> |Ref:故人非旧容
边地遥无极 云波正复长<eos><eos><eos> |Ref:征人去不还
安知草木性 不得泥尘迹<eos><eos><eos> |Ref:变在画师手
却教为后耻 不得为君身<eos><eos><eos> |Ref:昭帝远和亲
刘伶台下稻花晚 杜陵山水花黄主<eos> |Ref:韩信庙前枫叶秋
轻舟去何疾 不知此不知<eos><eos><eos> |Ref:已到云林境
试问疲人与征战 不知谁识故乡春<eos> |Ref:使君双泪定沾衣
玉窗朝日映 花影夜风吹<eos><eos><eos> |Ref:罗帐春风吹
碑刊古篆龙蛇动 天殿龙龙战骨飞<eos> |Ref:洞接诸天日月闲
壮志恐蹉跎 山空似无力<eos><eos><eos> |Ref:功名若云浮
徒言玉节将分阃 一白龙为不到明<eos> |Ref:定是沙堤欲到门
连营一百万 不见白云中<eos><eos><eos> |Ref:六合如可有
谢公自有东山妓 不觉风尘不起舟<eos> |Ref:金屏笑坐如花人
二三道士席其间 一下金盘不如有<eos> |Ref:灵液屡进玻黎碗
手种桃李非无主 花下新风事不如<eos> |Ref:野老墙低还似家
行看采华曲 不见在山春<eos><eos><eos> |Ref:尽是泰阶平
我家曾寄双台下 不得相逢应不前<eos> |Ref:往往开图尽日看
柳门柳门 不得不得<eos><eos><eos><eos> |Ref:芳草芊绵
细雨轻风采药时 野禽无限夜吟闻<eos> |Ref:褰帘隐几更何为
澶漫山东一百州 白云深处见丹丘<eos> |Ref:削成如桉抱青丘
中天悬明月 清风入白云<eos><eos><eos> |Ref:令严夜寂寥
花落却绕树 不见不相逢<eos><eos><eos> |Ref:游子不顾期
其如玉女正投壶 一为名名为君子<eos> |Ref:笑电霏霏作天喜
晨登天竺山 天高路遥隔<eos><eos><eos> |Ref:山殿朝阳晓
高斋晓开卷 一声秋未销<eos><eos><eos> |Ref:独共圣人语
龙头龙尾前年梦 不觉尘埃满地平<eos> |Ref:今日须怜应若神
万实行就稔 万木落新新<eos><eos><eos> |Ref:百工欣所如
风蝉旦夕鸣 风雨满高林<eos><eos><eos> |Ref:伴夜送秋声
立马千山暮 风流一径寒<eos><eos><eos> |Ref:回舟一水香
一城先见日 山静不知秋<eos><eos><eos> |Ref:百里早惊春
天子龙沉景阳井 石头龙步飞烟水<eos> |Ref:谁歌玉树后庭花
四子遭明盛 天子无所求<eos><eos><eos> |Ref:裒然皆秀杰
对兹伤九曲 何处见沧洲<eos><eos><eos> |Ref:含浊出昆仑
龙门峻且极 不敢心涟洏<eos><eos><eos> |Ref:骥足庶来驰
我闻声价金应敌 玉见仙坛碧不红<eos> |Ref:众道风姿玉不如
驰心栖杳冥 不见扫尘衣<eos><eos><eos> |Ref:何物比清泠
下车劝僮仆 不是饥落年<eos><eos><eos> |Ref:相顾莫叹息
蕃甲锁蛇鳞 飞生入蛰虫<eos><eos><eos> |Ref:马嘶青冢白
脱履定归天上去 金床行尽寺中来<eos> |Ref:空坟留入武陵图
少年留取多情兴 不觉年年一夜愁<eos> |Ref:请待花时作主人
再来君子傍 不见不相逢<eos><eos><eos> |Ref:始觉精义多
酒醉夜未阑 风吹月开帷<eos><eos><eos> |Ref:几回颠倒枕
不惜孤舟去 何人不见君<eos><eos><eos> |Ref:其如两地春
红烟满户日照梁 金闺不得紫罗人<eos> |Ref:天丝软弱虫飞扬
晚晴摇水态 春色艳花日<eos><eos><eos> |Ref:迟景荡山光
石滑羊肠险 山高凤上长<eos><eos><eos> |Ref:山空杜宇悲
如将不尽 不为不知<eos><eos><eos><eos> |Ref:与古为新
洞连龙穴全山冷 白鹤巢来挂枕悬<eos> |Ref:窗透鳌波尽室清
北林分苑树 春色满池台<eos><eos><eos> |Ref:东流溢御沟
各是病来俱未了 不知身是是长人<eos> |Ref:莫将烦恼问汤休
孤梦家山远 山居日正斜<eos><eos><eos> |Ref:独眠秋夜长
艳质无由见 何人不可寻<eos><eos><eos> |Ref:寒衾不可亲
今之新图有二马 千里连来无人人<eos> |Ref:复令识者久叹嗟
窗西暮山色 夜声无夜秋<eos><eos><eos> |Ref:依旧入诗情
红杏花开连锦障 红山草榭和娇歌<eos> |Ref:绿杨阴合拂朱轮
连枝花样绣罗襦 声引金梭弄玉鸡<eos> |Ref:本拟新年饷小姑
粉片妆梅朵 春多带柳条<eos><eos><eos> |Ref:金丝刷柳条
蒲荷影参差 风声细纷咽<eos><eos><eos> |Ref:凫鹤雏淋涔
笙歌引出桃花洞 满眼愁书玉重堂<eos> |Ref:罗绣拥来金谷园
笔下铦磨巨阙锋 出光分动出灵尘<eos> |Ref:胸中静滟西江水
锦砾潺湲玉溪水 一片一去归云外<eos> |Ref:晓来微雨藤花紫
无人与我长生术 不得何人是我愁<eos> |Ref:洛川春日且长歌
珮声犹隔箔 春草已成霜<eos><eos><eos> |Ref:香气已迎人
是时正月晦 不见春情色<eos><eos><eos> |Ref:假日无公事
天资韶雅性 不得爱诗成<eos><eos><eos> |Ref:不愧知音识
长安远于日 不知无所逢<eos><eos><eos> |Ref:搔首独徘徊
益知迷宠佞 何事为君贫<eos><eos><eos> |Ref:遗恨丧贤良
势疑撞翼轸 万化振其材<eos><eos><eos> |Ref:翠欲滴潇湘
若纳水輨 不为不<unk><eos><eos><eos><eos> |Ref:如转丸珠
金风扇微凉 风光吹初散<eos><eos><eos> |Ref:远烟凝翠晶
玉魄东方开 一去不相见<eos><eos><eos> |Ref:嫦娥逐影来
为问昔时青海畔 不知何处得身闲<eos> |Ref:几人归到凤林桥
一汲清泠水 山中白雪秋<eos><eos><eos> |Ref:高风味有馀
琼章开后学 不得得无名<eos><eos><eos> |Ref:稽首奉真经
