沙净有波迹 不深无水声 |Ref:岸平多草烟
弹琴对酒不知暮 不酒何人不不人 |Ref:岸帻题诗身自闲
独思作霖雨 长见为秋水 |Ref:流润及生灵
傥年七十犹强健 须得君人不一人 |Ref:尚得闲行十五春
坐中若打占相令 不上金发不一枝 |Ref:除却尚书莫点头
言语巧偷鹦鹉舌 醉行吟解凤罗鳞 |Ref:文章分得凤凰毛
雨合吴江黑 风开楚客红 |Ref:潮移海路新
花底休倾绿玉卮 月中新尽红金时 |Ref:云中含笑向安期
笼鸟上天犹有待 连花边日已无寻 |Ref:病龙兴雨岂无期
半偈传初尽 新书出未长 |Ref:群生意未回
烟雾扫开尊北岳 月风飞出隐东溟 |Ref:蛟龙斩断净南河
新馆寒来多少客 故山春去不无龙 |Ref:欲回歌酒暖风尘
人人入蜀谒文翁 不得何人不天水 |Ref:妍丑终须露镜中
有女诚为累 无人不作污 |Ref:无儿岂免怜
酒尽沙头双玉瓶 一来应上一金金 |Ref:众宾皆醉我独醒
大抵著绯宜老大 一来无不不知名 |Ref:莫嫌秋鬓数茎霜
苍苍一雨后 白落一云时 |Ref:苕颖如云发
日长昼加餐 春深夜如寝 |Ref:夜短朝馀睡
前湾更幽绝 一路复相还 |Ref:虽浅去犹通
抱玉将何适 逢金与自流 |Ref:良工正在斯
阙下书功无后辈 海中诗事有成心 |Ref:卷中文字掩前贤
忽闻徵并作 特见共相同 |Ref:观海愧堂坳
长忆寻师处 青花看石时 |Ref:东林寓泊时
去去渡南渚 来来空北阳 |Ref:村深人出稀
欲出心还懒 无风日不愁 |Ref:闲吟绕寝床
昔日曾随魏伯阳 今年不见汉人存 |Ref:无端醉卧紫金床
果实经千岁 人阴日万年 |Ref:衣裳重六铢
那知兹夕兴 不见一秋秋 |Ref:不与古人同
金烁水银流 青光半玉<unk> |Ref:玉煼丹砂焦
小滩惊起鸳鸯处 一水惊飞鹦鹉时 |Ref:一双采莲船过声
揉蓝绿色曲尘开 一血寒声天水没 |Ref:静见三星入坐来
菱蔓弱难定 虫花不易开 |Ref:杨花轻易飞
今日把手笑 不为不不时 |Ref:少时各他乡
此中境既无佳境 此外人生有不天 |Ref:他处春应不是春
川光初媚日 风色欲开风 |Ref:山色正矜秋
伫尔颂中和 应然怀上<unk> |Ref:吾将令卿士
曳履迎中谷 垂衣出上山 |Ref:鸣丝出后堂
轻箑烦相向 清琴泪阳然 |Ref:纤絺恐自疑
焉能同泛滟 不用共氛氲 |Ref:极目波上凫
持赠昔闻将白雪 今年今见不青人 |Ref:蕊珠宫上玉花春
伊余独禀狂狷性 老我不得不如心 |Ref:褊量多言仍薄命
砌下落花风起 窗前生竹花枝 |Ref:罗衣特地春寒
梦永秋灯灭 风残夜月空 |Ref:吟孤晓露明
若访禅斋遥可见 绿人一上一人人 |Ref:竹窗书幌共烟波
阳乌景暖林桑密 玉鹤光寒野草多 |Ref:独立闲听戴胜啼
长闲应未得 高日不相人 |Ref:暂赏亦难同
寺幽堪讲律 竹静是禅人 |Ref:月冷称当禅
日暖风微南陌头 风风风上北相愁 |Ref:青田红树起春愁
香炉远峰出 香径寒水开 |Ref:石镜澄湖泻
巫峡西江外 湘山北不中 |Ref:秦城北斗边
太宗罗俊彦 周道发灵畴 |Ref:桂玉比光辉
悠然念故乡 此日在相情 |Ref:乃在天一隅
灞陵桃李色 犹与一人人 |Ref:应待日华开
未能忘魏阙 何欲在荆山 |Ref:空此滞秦稽
闲听别鸟啼红树 静见离花落翠云 |Ref:醉看归僧棹碧流
祝融绝顶万馀层 不得无心一自清 |Ref:策杖攀萝步步登
登桥试长望 出日几何人 |Ref:望极与天平
须知不动念 不是不相<unk> |Ref:照出万重源
寒空动高吹 风气照山行 |Ref:月色满清砧
有象言虽具 无人心未欺 |Ref:无端思转多
至今衔积恨 明日不相愁 |Ref:终古吊残魂
时看介士阅犀渠 不见登人拥虎碗 |Ref:每狎儒生冠章甫
文翁劝学人应恋 不是年家马不惊 |Ref:魏绛和戎戍自休
危亭题竹粉 寒袖落松烟 |Ref:曲沼嗅荷花
玉鳞吞金钩 玉翅出瑶轮 |Ref:仙璇琉璃开
多生沉五蕴 不得在三心 |Ref:宿习乐三坟
家住水东西 春家日北北 |Ref:浣纱明月下
清和挑菜食 白上出花衣 |Ref:闷寂闭花眠
南轩更何待 何日无相归 |Ref:坐见玉蟾蜍
自非风动天 不是日相然 |Ref:莫置大水中
妾怨在朝露 君风无夜风 |Ref:君恩岂中薄
坐久吟方罢 行来话更眠 |Ref:眠初梦未成
见机苦迟 思心无时 |Ref:二公所咍
碧姿尘不染 白日日何风 |Ref:清影露长鲜
晴景猎人曾望见 夜风摇翠正飞衣 |Ref:青蓝色里一僧禅
虽然减得阖门忧 不合无雄不不闲 |Ref:又加去国五年老
持此返伊川 无人不不贤 |Ref:悠然慰衰疾
短亭幽径入 长有小山生 |Ref:陈庙数峰围
兰棹一移风雨急 桂花千落月云秋 |Ref:流莺千万莫长啼
操弦调六气 歌节不三时 |Ref:挥翰动三辰
不同巫峡女 空是芙蓉人 |Ref:来往楚王祠
倚槛应穷底 回帘不一行 |Ref:凝情合到源
宁知一柱观 不是在相流 |Ref:却启四禅门
文雅关西族 文华塞南天 |Ref:衣冠赵北都
桃花百媚如欲语 花叶一枝不不人 |Ref:曾为无双今两身
多难身何补 清高鬓不束 |Ref:无家病不辞
一生知几度 一是不何催 |Ref:后到拟先归
忽访天京兆 如为天海子 |Ref:空传汉伏波
以地清净故 其天清清新 |Ref:献奠无荤膻
万缘皆已消 何日不相生 |Ref:此病独未去
酹酒成坳泽 松琴作<unk><unk> |Ref:持兵列偶人
失风鼓唅呀 激日狐摧狼 |Ref:摇撼千灌木
一马喷成泥 百马不不月 |Ref:百马饮浊流
是非迷觉梦 不是失知天 |Ref:行役议秦吴
不知无声泪 何有有人心 |Ref:中感一颜厚
仰视何青青 俯然无素白 |Ref:上不见纤穿
远陂春草绿 高树暮花红 |Ref:犹有水禽飞
伏泉通粉壁 幽石入青衣 |Ref:迸笋出花林
鸟势去投金谷树 云声来入玉阳枝 |Ref:钟声遥出上阳烟
烟蒙上焚 月不中长 |Ref:雨阵下棘
下第春愁甚 前人夜喜新 |Ref:劳君远见招
极望断烟飘 清风落风色 |Ref:遥落惊蓬没
朝从博徒饮 夜逐倡人看 |Ref:暮有倡楼期
愿陪九九辰 何奉五云台 |Ref:长奉千千历
陈琳能草檄 何是不云护 |Ref:含笑出长平
莫学天上日 何人不中时 |Ref:朝东暮还西
金丹同学都无益 玉史同书岂有来 |Ref:水竹邻居竟不成
青苞虽小叶虽疏 白发无间不不居 |Ref:贵气高情便有馀
九门回望尘坌多 百朝悬生气寂多 |Ref:六龙夜驭兵卫疲
言虽依景得 不不在风生 |Ref:理要入无征
戴云山顶白云齐 白水松间青石中 |Ref:登顶方知世界低
关月夜悬青冢镜 山风朝在白衣衣 |Ref:寒云秋薄汉宫罗
休飞霹雳车 便复天天<unk> |Ref:罢系虾蟆木
入云投馆僻 飞月入林疏 |Ref:采碧过帆迟
寒禽与衰草 何日不寒心 |Ref:处处伴愁颜
遐想鱼鹏化 还思鸟鹤<unk> |Ref:开襟九万风
还能万里传山水 还向三人入水人 |Ref:三峡泉声岂寂寥
岁朝园寝遣公卿 所我乃心不不郎 |Ref:学省班中亦摄行
当时州县每年修 何向年年不日游 |Ref:皆留内人看玉案
炎月北窗下 寒风南窗中 |Ref:清风期再过
交关但交假 何事不相人 |Ref:本生得失轻
璧沼宁堪比 金山不可如 |Ref:瑶池讵可俦
噪轩高树合 落树远山流 |Ref:惊枕暮山横
兹山夙所尚 彼水不所亲 |Ref:安得问灵怪
夜弦响松月 夜月动江烟 |Ref:朝楫弄苔泉
香散自宜飘渌酒 水闲空伴动红风 |Ref:叶交仍得荫苍苔
休作西行计 当人不上人 |Ref:西行地渐凶
绕砌澄清沼 临窗响翠林 |Ref:抽簪映细流
君去凋残后 人来不处时 |Ref:应怜百越空
令申兵气倍 神观火声偏 |Ref:威憺虏魂亡
日西相对罢 风上一相人 |Ref:休浣向天涯
篱边野外多众芳 手里下中不不春 |Ref:采撷细琐升中堂
为报西家知不知 为年相处一人人 |Ref:何须谩笑东家儿
国之重镇惟幽都 天旗万夷不不年 |Ref:东威九夷北制胡
好住好住王司户 不得闲山客归人 |Ref:珍重珍重李参军
晚游临碧殿 秋月入青楼 |Ref:日上望春亭
男儿命未达 不有心何生 |Ref:且尽手中杯
待得生金后 还来在玉时 |Ref:川原亦几移
更闻栖鹤警 空望落鱼开 |Ref:清露滴青松
出入门阑久 行人亦所多 |Ref:儿童亦有情
三千士里文章伯 五万人中道子来 |Ref:四十年来锦绣衣
长空秋雨歇 独日夜风飞 |Ref:睡起觉精神
岚岭对高斋 云山入远清 |Ref:春流灌蔬壤
寒蛩傍枕响 夜月入窗声 |Ref:秋菜上墙生
钩陈夕次 在不秋行 |Ref:銮和先跸
秦皇肆暴虐 汉子见新<unk> |Ref:二世遘乱离
不为孟夫子 何作无人臣 |Ref:岂识市井门
门前两条辙 日下白芳枝 |Ref:何处去不得
不学邻家妇慵懒 不年今得人无贫 |Ref:蜡揩粉拭谩官眼
乡心各万里 一事不相归 |Ref:醉话时一展
同官尽才俊 此日无相汤 |Ref:偏善柳与刘
春秋书王法 春风道天源 |Ref:不诛其人身
才是寝园春荐后 不知红事不成时 |Ref:非关御苑鸟衔残
调云阕兮神座兴 山天驾兮俨将穷 |Ref:骖云驾兮俨将升
逢秋莫叹须知分 不是何人不是时 |Ref:已过潘安三十年
孤松宜晚岁 一竹不秋风 |Ref:众木爱芳春
牛困人饥日已高 人生不食日无山 |Ref:市南门外泥中歇
冰碧寒夜耸 月青晓朝明 |Ref:箫韶风昼罗
贵年不惧老 贱日无不贫 |Ref:贱老伤久存
名将古谁是 何与今不何 |Ref:疲兵良可叹
政术甘疏诞 文人不冥<unk> |Ref:词场愧服膺
试从古人愿 不是今人情 |Ref:致酒歌秉烛
如今世乱独翛然 不是人人不相里 |Ref:天外鸿飞招不得
愿谢携手客 长君无人人 |Ref:兹山禅侣饶
官罢得丝发 不来无日生 |Ref:好买百树桑
为报南蛮须屏迹 为知白是不人枝 |Ref:不同蜀将武侯功
何当住峰下 高此在云中 |Ref:终岁绝尘埃
清冷之泉候朝汲 白隐之云入夜<unk> |Ref:桑绠相牵常出入
又作淮南客 青君不不人 |Ref:还悲木叶声
琴高坐赤鲤 不得行青桐 |Ref:何许纵仙逸
五峰习圣罢 三载在云游 |Ref:乾竺化身归
门横金锁悄无人 一落玉衣寒气新 |Ref:落日秋声渭水滨
有瑕宁自掩 无事不相亲 |Ref:匪石幸君知
三伏草木变 一秋山月生 |Ref:九城车马烦
幽处竟谁见 清人不自知 |Ref:芳心空自知
忆得双文独披掩 山山一月一花纷 |Ref:满头花草倚新帘
望望情何极 归声思不流 |Ref:浪浪泪空泫
坐久不须轻矍铄 不来不必有空裳 |Ref:至今双擘硬弓开
未答平生意 何君一此人 |Ref:已没九原居
金殿香高初唤仗 玉楼香殿正成城 |Ref:数行鸳鹭各趋班
知道君家当瀑布 不知何处在人人 |Ref:菖蒲潭在草堂前
齐竽终自退 鲁曲不谁多 |Ref:心寄嵩峰巅
岭猿霜外宿 山鸟月中开 |Ref:江鸟夜深飞
远江桥外色 长雨水中声 |Ref:繁杏竹边花
柔情托侍儿 不不为相枝 |Ref:为我遗所欢
去矣鱼返泉 今然云溶山 |Ref:超然蝉离蜕
晨步佳色媚 暮路相相绿 |Ref:夜眠幽气多
地控吴襟带 天连楚玉云 |Ref:才高汉缙绅
空怀伊尹心 不得不公事 |Ref:何补尧舜治
独吟谁会解 清月自相期 |Ref:多病自淹留
唯赍一宿粮 时得一清方 |Ref:去岸三千里
行行复垂泪 此去不相心 |Ref:不称是男儿
金甲云旗尽日回 玉云相见一人埃 |Ref:仓皇罗袖满尘埃
倚剑对风尘 登人不中客 |Ref:慨然思卫霍
五陵豪贵反颠倒 双颗花花不日死 |Ref:乡里小儿狐白裘
极知意气薄 长觉向心长 |Ref:不著去时衣
赤城容许到 白日不相跎 |Ref:敢惮百千层
却回看五老 犹是不三生 |Ref:翻悔上孤舟
此亭真寂寞 何路不相回 |Ref:世路少人闲
回舟映沙屿 白水入云洲 |Ref:未远剩相思
平田出郭少 高日向山多 |Ref:盘坂入云长
病守未能依结社 贫情不得问归门 |Ref:更施何术去为邦
怅望西溪水 依依北水山 |Ref:潺湲奈尔何
诛剥垒千金 何者锥三金 |Ref:留将与妻子
功烈尚书孙 不尽如中地 |Ref:琢磨风雅言
朱户昨经新棨戟 白楼台上旧梁郎 |Ref:风帆常觉恋箪瓢
摛文挥月毫 捧彩制金球 |Ref:讲剑淬霜锷
清景为公有 清风为此无 |Ref:放旷云边亭
宜须数数谋欢会 不是千山不不年 |Ref:好作开成第二春
我昔孩提从我兄 我今中之入金柱 |Ref:我今衰白尔初成
同心齐体如身到 为手商书似眼来 |Ref:临水烦君便祓除
池塘营水眼 野竹入人心 |Ref:岭峤结花根
壮年抱羁恨 闲日无离思 |Ref:梦泣生白头
始闻呈瑞石 还见入灵畴 |Ref:又报产灵芝
适知小阁还斜照 还觉残山不一生 |Ref:羡杀乌龙卧锦茵
对兹伤九曲 感彼为三澜 |Ref:含浊出昆仑
少壮迹颇疏 不老心何止 |Ref:欢乐曾倏忽
白云从冢出 黄水入人开 |Ref:秋草为谁荒
贫居类村坞 病在过村村 |Ref:僻近城南楼
曙月当窗满 秋风入水寒 |Ref:征云出塞遥
潜知寒燠间 石有不无里 |Ref:迁次如乘传
平生为客老 老老有人人 |Ref:胜境失云栖
西江贾客珠百斛 东君不人白一愁 |Ref:船中养犬长食肉
容颜南国重 诗发北山多 |Ref:名字北方闻
莫谓一枝柔软力 不知双发不闲心 |Ref:几曾牵破别离心
庆展簪裾洽 清开文业康 |Ref:恩融雨露濡
缅怀在云汉 何念无云峦 |Ref:良愿暌枕席
公门衙退掩 不得不中行 |Ref:妓席客来铺
此日相逢魂合断 一君犹是泪何归 |Ref:赖君身事渐飞冲
问人寻野寺 落月入山林 |Ref:牵马渡危桥
病犹陪宴饮 多欲醉诗眠 |Ref:老更奉周旋
自古无奈何 不人有所足 |Ref:命为时所屈
悠悠慈母心 夜郁生相生 |Ref:惟愿才如人
君王莫信和亲策 不向空门在道行 |Ref:生得胡雏虏更多
一师凭庙略 万里不天流 |Ref:分阃佐元戎
龙泉解锦带 凤叶入金钱 |Ref:为尔倾千觞
季秋胶折边草腓 长河狼猎出马师 |Ref:治兵羽猎因出师
故山归兴尽 新日在山情 |Ref:回首向风飙
迹就空门退 心随大路通 |Ref:官从画省迁
何处人间似仙境 不人天上如人人 |Ref:春山携妓采茶时
石膏粘木屐 松石带花烟 |Ref:崖蜜落冰池
斩伐若草木 不为如如人 |Ref:系缧同犬羊
山涧依硗瘠 山山出转石 |Ref:竹树荫清源
日午路中客 时人人上人 |Ref:槐花风处蝉
密迩玉几前擘坼 不如金三后珊轻 |Ref:奏上臣仝顽愚胸
新酒乘凉压 新歌入翠垂 |Ref:残棋隔夜收
霜节明秋景 风山长暮情 |Ref:轻冰结水湄
世所重巾冠 人来不可音 |Ref:何妨野夫丱
襄城迷路问童子 江水春家忆小人 |Ref:帝乡归去无人留
放歌随楚老 随舞逐秦州 |Ref:清宴奉诸侯
唯当存令德 谁以在恩天 |Ref:可以解悁勤
始知天造空闲境 不有山生不此人 |Ref:不为忙人富贵人
闻道征贤须有诏 何来归事莫无人 |Ref:不知何日到良常
秦穆五羊皮 不去百相力 |Ref:买死百里奚
雨数芝田长 风平竹子行 |Ref:云开石路重
聊当因畎浍 从佛有云心 |Ref:披拂坐潺湲
谁知江徼客 一处在江人 |Ref:此景倍相于
草色愁别时 风声怨日枝 |Ref:槐花落行次
盘筵饶异味 无酒不如情 |Ref:音乐斥庸工
当似遗民去 天如老里来 |Ref:柴桑政自闲
如嫌水德人多狎 不向山山不有知 |Ref:拯溺宜将猛济宽
七条丝上寄深意 一日为中人心思 |Ref:涧水松风生十指
桂含爽气三秋首 花带清风万翠香 |Ref:蓂吐中旬二叶新
尝闻赠琼玖 何以为相亲 |Ref:叨和愧升堂
谁引相公开口笑 何人不是一中风 |Ref:不逢白监与刘郎
只有汀洲连旧业 不无山水入新家 |Ref:岂无章疏动遗文
永日无人新睡觉 春年不见旧时看 |Ref:小窗晴暖螖虫飞
金井梧桐秋叶黄 玉花一色夜来清 |Ref:珠帘不卷夜来霜
重门下长锁 一马生相回 |Ref:树影空过墙
解牵窗梦远 愁入石声深 |Ref:先是涧梅谙
穷秋感平分 一日无万里 |Ref:新月怜半破
锦衾重自暖 罗席不相春 |Ref:遮莫晓霜飞
梨花千树雪 柳叶一人风 |Ref:杨叶万条烟
何必沧浪去 不为白云人 |Ref:兹焉可濯缨
朝曦入牖来 暮月鸣庭开 |Ref:鸟唤昏不醒
神之降矣 石之其之 |Ref:卿云郁兮
荡漾春风起 回条一日飞 |Ref:谁知历乱心
风光翻露文 日色满风香 |Ref:雪华上空碧
戍出山头鼓 沙连水上旗 |Ref:樵通竹里歌
送君江南去 归君海西山 |Ref:秋醉洛阳酒
正月元日 明风上年 |Ref:初见宗祖
坞湿云埋观 山生水上流 |Ref:溪寒月照罾
为人无贵贱 不是有无生 |Ref:莫学鸡狗肥
闻有故交今从骑 不将新歌一相州 |Ref:何须著论更言钱
林密添新竹 山深引旧花 |Ref:枝低缒晚桃
世人解听不解赏 不我不为不能诗 |Ref:长飙风中自来往
凝情看丽句 落意见新风 |Ref:驻步想清尘
赠我数百字 为君不一时 |Ref:字字凌风飙
楚俗少相知 何人多不足 |Ref:远游难称情
相忆情难尽 春山日不情 |Ref:离居春草多
武陵敬爱客 不与玉人人 |Ref:终宴不知疲
盛名与高隐 高事不相名 |Ref:合近谢敷村
沙村好处多逢寺 水水禅时半上楼 |Ref:山叶红时觉胜春
爱此一郡人 不君千里客 |Ref:如见太古风
旗纛早开擒虎帐 旌章长卷斗龙裙 |Ref:戈鋋初发斩鲸舟
史为三坟博 三为五里功 |Ref:郎因五字迁
楚山千里一僧行 不水孤人一客宿 |Ref:念尔初缘道未成
烟暝搔愁鬓 年时对梦衣 |Ref:春阴赖酒乡
从他嫌复笑 不是是人生 |Ref:门更不曾开
芙蓉帐小云屏暗 翡玉楼深月月明 |Ref:杨柳风多水殿凉
灵歆若有答 德礼若无知 |Ref:仿佛传祝工
凉月照窗欹枕倦 寒风一户落灯多 |Ref:澄泉绕石泛觞迟
暗梁闻语燕 不处见飞羊 |Ref:夜烛见飞蛾
未为尧舜用 不作汉人存 |Ref:且向烟霞托
九重天乐降神仙 一把金人不天子 |Ref:步舞分行踏锦筵
挂缨守贫贱 归心有病生 |Ref:积雪卧郊园
裁缝无处等 翦得有时行 |Ref:以意忖情量
想得家中夜深坐 人应不上不人声 |Ref:还应说著远行人
虽是寻山客 终来不不人 |Ref:还同慢世人
沧洲今何在 青山是相生 |Ref:华发旅边城
老去争由我 春来不自君 |Ref:愁来欲泥谁
三州陷犬戎 五室拥龙兵 |Ref:但见西岭青
众山遥对酒 孤水独相诗 |Ref:孤屿共题诗
铁剑常光光 一马春翼色 |Ref:至凶威屡逼
藤悬读书帐 金上辟衣兵 |Ref:竹系网鱼船
鼍鸣积雨窟 鱼入集云轩 |Ref:鹤步夕阳沙
万事竟蹉跎 千年无可游 |Ref:重泉恨若何
当时楼下水 不日不中人 |Ref:今日到何处
杜牧旧居凭买取 一来新酒不无身 |Ref:他年藜杖愿同归
除却今年仙侣外 此人今日一人中 |Ref:堂堂又见两三春
